gene_id	gene_symbol	module	goslim_name	k_total	k_within	protein
MMAR_RS02330	MMAR_RS02330	MEblue	Lipid & Fatty Acid Metabolic Process	24.678	14.836	aldehyde dehydrogenase
MMAR_RS14585	MMAR_RS14585	MEturquoise	Cell Surface & Biofilm Organization	34.41	30.06	MMP alpha-(1->4)-mannosyltransferase
MMAR_RS02650	MMAR_RS02650	MEturquoise	Cell Surface & Biofilm Organization	36.269	34.527	PPE family protein
MMAR_RS25195	MMAR_RS25195	MEturquoise	Cell Surface & Biofilm Organization	35.445	33.748	2-keto-4-pentenoate hydratase
MMAR_RS25435	MMAR_RS25435	MEbrown	Transmembrane Transport & Secretion	14.55	3.112	metal ABC transporter solute-binding protein, Zn/Mn family
MMAR_RS08970	MMAR_RS08970	MEturquoise	Cell Surface & Biofilm Organization	34.499	32.836	NAD-dependent epimerase/dehydratase family protein
MMAR_RS12080	cydD	MEturquoise	Cell Surface & Biofilm Organization	14.25	12.046	thiol reductant ABC exporter subunit CydD
MMAR_RS07395	MMAR_RS07395	MEturquoise	Cell Surface & Biofilm Organization	23.982	22.883	homogentisate 1,2-dioxygenase
MMAR_RS21650	MMAR_RS21650	MEturquoise	Cell Surface & Biofilm Organization	33.796	29.428	SDR family oxidoreductase
MMAR_RS13740	MMAR_RS13740	MEturquoise	Cell Surface & Biofilm Organization	23.102	17.14	hydrogen peroxide-inducible genes activator
MMAR_RS17620	MMAR_RS17620	MEblue	Lipid & Fatty Acid Metabolic Process	24.291	11.953	DUF6632 domain-containing protein
MMAR_RS24090	crtI	MEturquoise	Cell Surface & Biofilm Organization	20.336	16.319	phytoene desaturase family protein
MMAR_RS00805	MMAR_RS00805	MEturquoise	Cell Surface & Biofilm Organization	21.311	17.199	hypothetical protein
MMAR_RS25175	MMAR_RS25175	MEturquoise	Cell Surface & Biofilm Organization	36.114	34.381	hypothetical protein
MMAR_RS18715	MMAR_RS18715	MEgreen	Cellular Respiration & Shear Adaptation	12.566	8.635	adenylate/guanylate cyclase domain-containing protein
MMAR_RS13320	MMAR_RS13320	MEblue	Lipid & Fatty Acid Metabolic Process	20.474	6.995	PPE family protein
MMAR_RS01745	MMAR_RS01745	MEturquoise	Cell Surface & Biofilm Organization	24.873	17.033	pirin family protein
MMAR_RS04540	MMAR_RS04540	MEturquoise	Cell Surface & Biofilm Organization	25.312	19.459	TetR/AcrR family transcriptional regulator
MMAR_RS00745	MMAR_RS00745	MEturquoise	Cell Surface & Biofilm Organization	18.938	16.068	TetR/AcrR family transcriptional regulator
MMAR_RS17750	MMAR_RS17750	MEturquoise	Cell Surface & Biofilm Organization	18.632	15.903	oxidoreductase
MMAR_RS04445	MMAR_RS04445	MEturquoise	Cell Surface & Biofilm Organization	25.162	17.018	sulfotransferase
MMAR_RS20160	MMAR_RS20160	MEturquoise	Cell Surface & Biofilm Organization	12.72	9.505	acyl-CoA dehydrogenase family protein
MMAR_RS20315	MMAR_RS20315	MEturquoise	Cell Surface & Biofilm Organization	23.699	15.726	MoaD/ThiS family protein
MMAR_RS08710	MMAR_RS08710	MEbrown	Transmembrane Transport & Secretion	12.449	8.311	LLM class flavin-dependent oxidoreductase
MMAR_RS01960	MMAR_RS01960	MEturquoise	Cell Surface & Biofilm Organization	26.79	20.822	hypothetical protein
MMAR_RS24720	MMAR_RS24720	MEturquoise	Cell Surface & Biofilm Organization	15.436	12.183	SDR family oxidoreductase
MMAR_RS05670	MMAR_RS05670	MEturquoise	Cell Surface & Biofilm Organization	20.068	15.665	DHA2 family efflux MFS transporter permease subunit
MMAR_RS23770	MMAR_RS23770	MEturquoise	Cell Surface & Biofilm Organization	33.243	28.733	amidohydrolase family protein
MMAR_RS10350	MMAR_RS10350	MEturquoise	Cell Surface & Biofilm Organization	20.688	18.972	helix-turn-helix transcriptional regulator
MMAR_RS05910	MMAR_RS05910	MEturquoise	Cell Surface & Biofilm Organization	15.532	9.095	VIT domain-containing protein
MMAR_RS29930	MMAR_RS29930	MEturquoise	Cell Surface & Biofilm Organization	21.325	18.459	hypothetical protein
MMAR_RS11530	MMAR_RS11530	MEgreen	Cellular Respiration & Shear Adaptation	14.536	6.496	phytanoyl-CoA dioxygenase family protein
MMAR_RS14545	MMAR_RS14545	MEbrown	Transmembrane Transport & Secretion	5.624	3.09	DUF1906 domain-containing protein
MMAR_RS01230	MMAR_RS01230	MEturquoise	Cell Surface & Biofilm Organization	21.862	16.084	hypothetical protein
MMAR_RS00510	MMAR_RS00510	MEgreen	Cellular Respiration & Shear Adaptation	12.633	2.627	type I polyketide synthase
MMAR_RS11250	MMAR_RS11250	MEgreen	Cellular Respiration & Shear Adaptation	20.113	11.818	quinone oxidoreductase family protein
MMAR_RS04180	MMAR_RS04180	MEgreen	Cellular Respiration & Shear Adaptation	6.354	1.421	transport-regulating membrane protein Mce1N
MMAR_RS21810	xseA	MEturquoise	Cell Surface & Biofilm Organization	29.171	26.788	exodeoxyribonuclease VII large subunit
MMAR_RS06400	MMAR_RS06400	MEturquoise	Cell Surface & Biofilm Organization	19.149	16.432	rubredoxin
MMAR_RS01440	mrf	MEturquoise	Cell Surface & Biofilm Organization	21.785	18.946	ribosome hibernation factor-recruiting GTPase MRF
MMAR_RS24345	MMAR_RS24345	MEturquoise	Cell Surface & Biofilm Organization	24.103	11.774	ArsR/SmtB family transcription factor
MMAR_RS14135	MMAR_RS14135	MEturquoise	Cell Surface & Biofilm Organization	15.199	12.045	hypothetical protein
MMAR_RS25030	MMAR_RS25030	MEyellow	Response to Stress & Redox Homeostasis	14.302	4.305	3-oxoacyl-ACP reductase
MMAR_RS10360	MMAR_RS10360	MEyellow	Response to Stress & Redox Homeostasis	11.877	4.568	cupin domain-containing protein
MMAR_RS20410	MMAR_RS20410	MEgreen	Cellular Respiration & Shear Adaptation	15.212	6.493	methylated-DNA--[protein
MMAR_RS01430	rpmG	MEturquoise	Cell Surface & Biofilm Organization	20.034	18.283	50S ribosomal protein L33
MMAR_RS14725	MMAR_RS14725	MEblue	Lipid & Fatty Acid Metabolic Process	17.661	13.085	DUF1906 domain-containing protein
MMAR_RS13905	MMAR_RS13905	MEyellow	Response to Stress & Redox Homeostasis	13.371	5.349	zinc-binding dehydrogenase
MMAR_RS16975	MMAR_RS16975	MEturquoise	Cell Surface & Biofilm Organization	13.734	10.325	maleate cis-trans isomerase family protein
MMAR_RS26020	MMAR_RS26020	MEbrown	Transmembrane Transport & Secretion	9.325	4.316	SpoIIE family protein phosphatase
MMAR_RS23530	MMAR_RS23530	MEturquoise	Cell Surface & Biofilm Organization	31.118	26.36	cytochrome P450
MMAR_RS13150	MMAR_RS13150	MEturquoise	Cell Surface & Biofilm Organization	29.445	25.263	WS/DGAT/MGAT family O-acyltransferase
MMAR_RS12510	MMAR_RS12510	MEblue	Lipid & Fatty Acid Metabolic Process	27.72	13.942	O-methyltransferase
MMAR_RS10900	MMAR_RS10900	MEbrown	Transmembrane Transport & Secretion	11.681	10.163	fatty acid desaturase
MMAR_RS03870	MMAR_RS03870	MEturquoise	Cell Surface & Biofilm Organization	17.907	13.435	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
MMAR_RS16515	MMAR_RS16515	MEbrown	Transmembrane Transport & Secretion	7.511	2.548	oxygenase MpaB family protein
MMAR_RS22795	sucD	MEturquoise	Cell Surface & Biofilm Organization	13.267	12.357	succinate--CoA ligase subunit alpha
MMAR_RS06185	MMAR_RS06185	MEblue	Lipid & Fatty Acid Metabolic Process	8.962	3.126	TetR/AcrR family transcriptional regulator
MMAR_RS23070	MMAR_RS23070	MEturquoise	Cell Surface & Biofilm Organization	11.973	11.429	PPE family protein
MMAR_RS19790	MMAR_RS19790	MEturquoise	Cell Surface & Biofilm Organization	17.172	12.949	DUF2339 domain-containing protein
MMAR_RS14295	MMAR_RS14295	MEgreen	Cellular Respiration & Shear Adaptation	19.213	8.287	YoaK family protein
